id,name,product_type,description,monthly_sales
66,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 66.,418
67,Django Book Plus,Book,Web development with Django. Plus model – batch 67.,254
68,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 68.,371
69,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 69.,220
70,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 70.,107
71,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 71.,391
72,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 72.,285
73,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 73.,231
74,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 74.,397
75,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 75.,217
76,Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 76.,417
77,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 77.,492
78,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 78.,247
79,Django Book Wireless,Book,Web development with Django. Wireless model – batch 79.,58
80,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 80.,354
81,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 81.,406
82,Django Book Wireless,Book,Web development with Django. Wireless model – batch 82.,5
83,Django Book Advanced,Book,Web development with Django. Advanced model – batch 83.,440
84,Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 84.,264
85,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 85.,77
86,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 86.,480
87,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 87.,246
88,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 88.,477
89,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 89.,222
90,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 90.,15
91,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 91.,362
92,Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 92.,380
93,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 93.,122
94,Gaming Mousepad Advanced,Accessories,Large mousepad with non-slip base. Advanced model – batch 94.,480
95,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 95.,452
96,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 96.,264
97,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 97.,456
98,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 98.,426
99,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 99.,229
100,Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 100.,377
101,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 101.,144
102,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 102.,372
103,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 103.,384
104,Laptop Stand Wireless,Accessories,Adjustable ergonomic laptop stand. Wireless model – batch 104.,380
105,Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 105.,267
106,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 106.,142
107,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 107.,178
108,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 108.,339
109,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 109.,344
110,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 110.,82
111,Django Book Advanced,Book,Web development with Django. Advanced model – batch 111.,217
112,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 112.,20
113,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 113.,112
114,Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 114.,69
115,Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 115.,229
116,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 116.,213
117,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 117.,231
118,Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 118.,489
119,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 119.,331
120,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 120.,253
121,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 121.,87
122,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 122.,370
123,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 123.,370
124,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 124.,336
125,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 125.,403
126,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 126.,133
127,Clean Code Book Advanced,Book,Best practices for clean and maintainable code. Advanced model – batch 127.,175
128,Mechanical Keyboard Advanced,Electronics,Mechanical keyboard with blue switches. Advanced model – batch 128.,487
129,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 129.,258
130,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 130.,350
131,Clean Code Book USB-C,Book,Best practices for clean and maintainable code. USB-C model – batch 131.,467
132,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 132.,371
133,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 133.,80
134,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 134.,253
135,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 135.,390
136,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 136.,330
137,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 137.,329
138,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 138.,226
139,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 139.,465
140,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 140.,169
141,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 141.,71
142,Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 142.,28
143,Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 143.,60
144,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 144.,68
145,Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 145.,466
146,Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 146.,364
147,Mechanical Keyboard USB-C,Electronics,Mechanical keyboard with blue switches. USB-C model – batch 147.,118
148,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 148.,243
149,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 149.,45
150,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 150.,224
151,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 151.,258
152,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 152.,347
153,HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 153.,201
154,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 154.,163
155,Django Book Wireless,Book,Web development with Django. Wireless model – batch 155.,123
156,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 156.,65
157,Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 157.,264
158,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 158.,430
159,ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 159.,155
160,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 160.,257
161,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 161.,153
162,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 162.,306
163,Laptop Stand USB-C,Accessories,Adjustable ergonomic laptop stand. USB-C model – batch 163.,118
164,USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 164.,355
165,Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 165.,472
166,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 166.,403
167,Algorithms Book Plus,Book,Introduction to algorithms and programming logic. Plus model – batch 167.,250
168,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 168.,65
169,USB Mouse Premium,Electronics,Wired USB mouse with high precision. Premium model – batch 169.,269
170,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 170.,251
171,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 171.,337
172,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 172.,7
173,Django Book Compact,Book,Web development with Django. Compact model – batch 173.,13
174,Laptop i5 Pro,Electronics,Laptop with Intel i5 processor and SSD. Pro model – batch 174.,95
175,Laptop Backpack Compact,Accessories,Durable backpack for up to 15-inch laptops. Compact model – batch 175.,354
176,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 176.,98
177,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 177.,137
178,ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 178.,50
179,Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 179.,226
180,University Notebook USB-C,Stationery,Notebook with 200 pages. USB-C model – batch 180.,42
181,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 181.,349
182,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 182.,222
183,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 183.,411
184,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 184.,447
185,Bluetooth Headphones Standard,Electronics,Wireless headphones with noise cancellation. Standard model – batch 185.,26
186,Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 186.,7
187,Clean Code Book Premium,Book,Best practices for clean and maintainable code. Premium model – batch 187.,476
188,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 188.,467
189,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 189.,255
190,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 190.,431
191,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 191.,136
192,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 192.,194
193,External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 193.,108
194,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 194.,266
195,Laptop i5 Wireless,Electronics,Laptop with Intel i5 processor and SSD. Wireless model – batch 195.,314
196,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 196.,322
197,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 197.,71
198,Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 198.,124
199,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 199.,317
200,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 200.,480
201,Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 201.,262
202,Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 202.,420
203,24 Inch Monitor Advanced,Electronics,Full HD monitor for work and gaming. Advanced model – batch 203.,122
204,Django Book Pro,Book,Web development with Django. Pro model – batch 204.,167
205,Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 205.,158
206,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 206.,443
207,Full HD Webcam Wireless,Electronics,1080p webcam for video conferencing. Wireless model – batch 207.,117
208,Django Book Premium,Book,Web development with Django. Premium model – batch 208.,149
209,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 209.,294
210,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 210.,401
211,Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 211.,222
212,ATX Power Supply 600W Pro,Electronics,600W certified power supply. Pro model – batch 212.,247
213,Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 213.,19
214,Django Book Standard,Book,Web development with Django. Standard model – batch 214.,23
215,Django Book Premium,Book,Web development with Django. Premium model – batch 215.,328
216,Laptop Backpack USB-C,Accessories,Durable backpack for up to 15-inch laptops. USB-C model – batch 216.,302
217,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 217.,416
218,Full HD Webcam Premium,Electronics,1080p webcam for video conferencing. Premium model – batch 218.,227
219,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 219.,273
220,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 220.,307
221,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 221.,409
222,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 222.,421
223,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 223.,481
224,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 224.,472
225,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 225.,202
226,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 226.,181
227,USB Flash Drive 64GB Premium,Electronics,USB 3.0 flash drive with 64GB capacity. Premium model – batch 227.,51
228,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 228.,443
229,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 229.,164
230,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 230.,376
231,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 231.,253
232,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 232.,31
233,Multifunction Printer Plus,Electronics,Printer with scanner and copier. Plus model – batch 233.,188
234,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 234.,492
235,External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 235.,42
236,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 236.,450
237,Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 237.,289
238,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 238.,98
239,External Hard Drive 1TB Advanced,Electronics,Portable 1TB external storage. Advanced model – batch 239.,35
240,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 240.,103
241,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 241.,477
242,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 242.,439
243,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 243.,330
244,Algorithms Book Standard,Book,Introduction to algorithms and programming logic. Standard model – batch 244.,321
245,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 245.,116
246,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 246.,78
247,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 247.,396
248,Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 248.,398
249,Algorithms Book Advanced,Book,Introduction to algorithms and programming logic. Advanced model – batch 249.,491
250,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 250.,308
251,Django Book Premium,Book,Web development with Django. Premium model – batch 251.,294
252,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 252.,404
253,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 253.,257
254,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 254.,70
255,ATX Power Supply 600W Standard,Electronics,600W certified power supply. Standard model – batch 255.,292
256,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 256.,380
257,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 257.,132
258,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 258.,191
259,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 259.,365
260,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 260.,459
261,Django Book Advanced,Book,Web development with Django. Advanced model – batch 261.,152
262,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 262.,413
263,Mechanical Keyboard Wireless,Electronics,Mechanical keyboard with blue switches. Wireless model – batch 263.,444
264,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 264.,329
265,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 265.,118
266,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 266.,118
267,HDMI Cable Advanced,Accessories,High-speed HDMI 2.0 cable. Advanced model – batch 267.,59
268,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 268.,202
269,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 269.,70
270,Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 270.,217
271,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 271.,319
272,University Notebook Pro,Stationery,Notebook with 200 pages. Pro model – batch 272.,24
273,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 273.,384
274,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 274.,488
275,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 275.,215
276,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 276.,484
277,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 277.,93
278,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 278.,186
279,Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 279.,38
280,External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 280.,351
281,Python Book Advanced,Book,Learn Python from beginner to advanced. Advanced model – batch 281.,274
282,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 282.,310
283,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 283.,358
284,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 284.,75
285,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 285.,7
286,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 286.,221
287,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 287.,430
288,University Notebook Plus,Stationery,Notebook with 200 pages. Plus model – batch 288.,31
289,Django Book Standard,Book,Web development with Django. Standard model – batch 289.,480
290,Django Book Compact,Book,Web development with Django. Compact model – batch 290.,129
291,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 291.,163
292,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 292.,187
293,Clean Code Book Wireless,Book,Best practices for clean and maintainable code. Wireless model – batch 293.,275
294,Blue Pen Plus,Stationery,Blue ballpoint pen. Plus model – batch 294.,500
295,Gaming Mousepad Pro,Accessories,Large mousepad with non-slip base. Pro model – batch 295.,323
296,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 296.,438
297,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 297.,7
298,Django Book Advanced,Book,Web development with Django. Advanced model – batch 298.,38
299,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 299.,209
300,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 300.,279
301,External Hard Drive 1TB Premium,Electronics,Portable 1TB external storage. Premium model – batch 301.,393
302,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 302.,384
303,Django Book Compact,Book,Web development with Django. Compact model – batch 303.,166
304,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 304.,227
305,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 305.,131
306,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 306.,220
307,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 307.,265
308,Mechanical Keyboard Plus,Electronics,Mechanical keyboard with blue switches. Plus model – batch 308.,497
309,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 309.,360
310,Django Book Compact,Book,Web development with Django. Compact model – batch 310.,322
